Gene Name,Functional Category
Rv3129,conserved-hypothetical
Rv3131,conserved-hypothetical
Rv3136A,conserved-hypothetical
Rv3142c,conserved-hypothetical
Rv3165c,conserved-hypothetical
Rv3166c,conserved-hypothetical
Rv3169,conserved-hypothetical
Rv3172c,conserved-hypothetical
Rv3178,conserved-hypothetical
Rv3179,conserved-hypothetical
Rv3180c,conserved-hypothetical
Rv3181c,conserved-hypothetical
Rv3182,conserved-hypothetical
Rv3188,conserved-hypothetical
Rv3189,conserved-hypothetical
Rv3190c,conserved-hypothetical
Rv3190A,conserved-hypothetical
Rv3192,conserved-hypothetical
Rv3195,conserved-hypothetical
Rv3196,conserved-hypothetical
Rv3196A,conserved-hypothetical
Rv3205c,conserved-hypothetical
Rv3207c,conserved-hypothetical
Rv3208A,conserved-hypothetical
Rv3209,conserved-hypothetical
Rv3210c,conserved-hypothetical
Rv3212,conserved-hypothetical
Rv3218,conserved-hypothetical
Rv3222c,conserved-hypothetical
Rv3224A,conserved-hypothetical
Rv3224B,conserved-hypothetical
Rv3226c,conserved-hypothetical
Rv3228,conserved-hypothetical
Rv3231c,conserved-hypothetical
Rv3235,conserved-hypothetical
Rv3237c,conserved-hypothetical
Rv3242c,conserved-hypothetical
Rv3243c,conserved-hypothetical
Rv3254,conserved-hypothetical
Rv3256c,conserved-hypothetical
Rv3258c,conserved-hypothetical
Rv3259,conserved-hypothetical
Rv3267,conserved-hypothetical
Rv3268,conserved-hypothetical
Rv3272,conserved-hypothetical
Rv3282,conserved-hypothetical
Rv3284,conserved-hypothetical
Rv3288c,conserved-hypothetical
Rv3292,conserved-hypothetical
Rv3294c,conserved-hypothetical
Rv3300c,conserved-hypothetical
Rv3304,conserved-hypothetical
Rv3311,conserved-hypothetical
Rv3312c,conserved-hypothetical
Rv3333c,conserved-hypothetical
Rv3337,conserved-hypothetical
Rv3338,conserved-hypothetical
Rv3351c,conserved-hypothetical
Rv3353c,conserved-hypothetical
Rv3354,conserved-hypothetical
Rv3360,conserved-hypothetical
Rv3361c,conserved-hypothetical
Rv3362c,conserved-hypothetical
Rv3363c,conserved-hypothetical
Rv3364c,conserved-hypothetical
Rv3365c,conserved-hypothetical
Rv3369,conserved-hypothetical
Rv3376,conserved-hypothetical
Rv3394c,conserved-hypothetical
Rv3395c,conserved-hypothetical
Rv3403c,conserved-hypothetical
Rv3404c,conserved-hypothetical
Rv3412,conserved-hypothetical
Rv3413c,conserved-hypothetical
Rv3415c,conserved-hypothetical
Rv3421c,conserved-hypothetical
Rv3422c,conserved-hypothetical
Rv3424c,conserved-hypothetical
Rv3433c,conserved-hypothetical
Rv3438,conserved-hypothetical
Rv3439c,conserved-hypothetical
Rv3440c,conserved-hypothetical
Rv3446c,conserved-hypothetical
Rv3463,conserved-hypothetical
Rv3471c,conserved-hypothetical
Rv3472,conserved-hypothetical
Rv3484,conserved-hypothetical
Rv3486,conserved-hypothetical
Rv3488,conserved-hypothetical
Rv3489,conserved-hypothetical
Rv3491,conserved-hypothetical
Rv3492c,conserved-hypothetical
Rv3493c,conserved-hypothetical
Rv3510c,conserved-hypothetical
Rv3517,conserved-hypothetical
Rv3519,conserved-hypothetical
Rv3521,conserved-hypothetical
Rv3527,conserved-hypothetical
Rv3528c,conserved-hypothetical
Rv3529c,conserved-hypothetical
Rv3531c,conserved-hypothetical
Rv3541c,conserved-hypothetical
Rv3542c,conserved-hypothetical
Rv3555c,conserved-hypothetical
Rv3566A,conserved-hypothetical
Rv3572,conserved-hypothetical
Rv3577,conserved-hypothetical
Rv3586,conserved-hypothetical
Rv3594,conserved-hypothetical
Rv3600c,conserved-hypothetical
Rv3603c,conserved-hypothetical
Rv3611,conserved-hypothetical
Rv3612c,conserved-hypothetical
Rv3613c,conserved-hypothetical
Rv3626c,conserved-hypothetical
Rv3627c,conserved-hypothetical
Rv3633,conserved-hypothetical
Rv3639c,conserved-hypothetical
Rv3642c,conserved-hypothetical
Rv3643,conserved-hypothetical
Rv3647c,conserved-hypothetical
Rv3651,conserved-hypothetical
Rv3654c,conserved-hypothetical
Rv3655c,conserved-hypothetical
Rv3656c,conserved-hypothetical
Rv3659c,conserved-hypothetical
Rv3662c,conserved-hypothetical
Rv3672c,conserved-hypothetical
Rv3678c,conserved-hypothetical
Rv3678A,conserved-hypothetical
Rv3683,conserved-hypothetical
Rv3686c,conserved-hypothetical
Rv3688c,conserved-hypothetical
Rv3691,conserved-hypothetical
Rv3698,conserved-hypothetical
Rv3699,conserved-hypothetical
Rv3701c,conserved-hypothetical
Rv3702c,conserved-hypothetical
Rv3703c,conserved-hypothetical
Rv3705c,conserved-hypothetical
Rv3705A,conserved-hypothetical
Rv3706c,conserved-hypothetical
Rv3707c,conserved-hypothetical
Rv3714c,conserved-hypothetical
Rv3716c,conserved-hypothetical
Rv3717,conserved-hypothetical
Rv3718c,conserved-hypothetical
Rv3719,conserved-hypothetical
Rv3722c,conserved-hypothetical
Rv3730c,conserved-hypothetical
Rv3732,conserved-hypothetical
Rv3733c,conserved-hypothetical
Rv3735,conserved-hypothetical
Rv3745c,conserved-hypothetical
Rv3747,conserved-hypothetical
Rv3748,conserved-hypothetical
Rv3749c,conserved-hypothetical
Rv3753c,conserved-hypothetical
Rv3755c,conserved-hypothetical
Rv3766,conserved-hypothetical
Rv3768,conserved-hypothetical
Rv3769,conserved-hypothetical
Rv3770c,conserved-hypothetical
Rv3771c,conserved-hypothetical
Rv3773c,conserved-hypothetical
Rv3776,conserved-hypothetical
Rv3780,conserved-hypothetical
Rv3785,conserved-hypothetical
Rv3786c,conserved-hypothetical
Rv3787c,conserved-hypothetical
Rv3788,conserved-hypothetical
Rv3796,conserved-hypothetical
Rv3811,conserved-hypothetical
Rv3813c,conserved-hypothetical
Rv3818,conserved-hypothetical
Rv3819,conserved-hypothetical
Rv3822,conserved-hypothetical
Rv3831,conserved-hypothetical
Rv3832c,conserved-hypothetical
Rv3836,conserved-hypothetical
Rv3839,conserved-hypothetical
Rv3845,conserved-hypothetical
Rv3847,conserved-hypothetical
Rv3850,conserved-hypothetical
Rv3856c,conserved-hypothetical
Rv3860,conserved-hypothetical
Rv3861,conserved-hypothetical
Rv3863,conserved-hypothetical
Rv3896c,conserved-hypothetical
Rv3897c,conserved-hypothetical
Rv3898c,conserved-hypothetical
Rv3899c,conserved-hypothetical
Rv3900c,conserved-hypothetical
Rv3902c,conserved-hypothetical
Rv3903c,conserved-hypothetical
Rv3906c,conserved-hypothetical
Rv3909,conserved-hypothetical
Rv3912,conserved-hypothetical
Rv3916c,conserved-hypothetical
Rv3920c,conserved-hypothetical
Rv0014c,regulatory-proteins
Rv0015c,regulatory-proteins
Rv0018c,regulatory-proteins
Rv0019c,regulatory-proteins
Rv0020c,regulatory-proteins
Rv0022c,regulatory-proteins
Rv0023,regulatory-proteins
Rv0042c,regulatory-proteins
Rv0043c,regulatory-proteins
Rv0067c,regulatory-proteins
Rv0078,regulatory-proteins
Rv0081,regulatory-proteins
Rv0117,regulatory-proteins
Rv0135c,regulatory-proteins
Rv0144,regulatory-proteins
Rv0153c,regulatory-proteins
Rv0158,regulatory-proteins
Rv0165c,regulatory-proteins
Rv0195,regulatory-proteins
Rv0196,regulatory-proteins
Rv0212c,regulatory-proteins
Rv0232,regulatory-proteins
Rv0238,regulatory-proteins
Rv0260c,regulatory-proteins
Rv0273c,regulatory-proteins
Rv0275c,regulatory-proteins
Rv0302,regulatory-proteins
Rv0324,regulatory-proteins
Rv0328,regulatory-proteins
Rv0339c,regulatory-proteins
Rv0348,regulatory-proteins
Rv0377,regulatory-proteins
Rv0386,regulatory-proteins
Rv0410c,regulatory-proteins
Rv0452,regulatory-proteins
Rv0465c,regulatory-proteins
Rv0472c,regulatory-proteins
Rv0474,regulatory-proteins
Rv0485,regulatory-proteins
Rv0490,regulatory-proteins
Rv0491,regulatory-proteins
Rv0494,regulatory-proteins
Rv0576,regulatory-proteins
Rv0586,regulatory-proteins
Rv0600c,regulatory-proteins
Rv0601c,regulatory-proteins
Rv0602c,regulatory-proteins
Rv0653c,regulatory-proteins
Rv0681,regulatory-proteins
Rv0691c,regulatory-proteins
Rv0737,regulatory-proteins
Rv0744c,regulatory-proteins
Rv0757,regulatory-proteins
Rv0758,regulatory-proteins
Rv0792c,regulatory-proteins
Rv0818,regulatory-proteins
Rv0823c,regulatory-proteins
Rv0827c,regulatory-proteins
Rv0844c,regulatory-proteins
Rv0845,regulatory-proteins
Rv0880,regulatory-proteins
Rv0890c,regulatory-proteins
Rv0891c,regulatory-proteins
Rv0894,regulatory-proteins
Rv0902c,regulatory-proteins
Rv0903c,regulatory-proteins
Rv0931c,regulatory-proteins
Rv0967,regulatory-proteins
Rv0981,regulatory-proteins
Rv0982,regulatory-proteins
Rv1019,regulatory-proteins
Rv1027c,regulatory-proteins
Rv1028c,regulatory-proteins
Rv1032c,regulatory-proteins
Rv1033c,regulatory-proteins
Rv1049,regulatory-proteins
Rv1129c,regulatory-proteins
Rv1151c,regulatory-proteins
Rv1152,regulatory-proteins
Rv1167c,regulatory-proteins
Rv1219c,regulatory-proteins
Rv1255c,regulatory-proteins
Rv1266c,regulatory-proteins
Rv1267c,regulatory-proteins
Rv1332,regulatory-proteins
Rv1353c,regulatory-proteins
Rv1358,regulatory-proteins
Rv1359,regulatory-proteins
Rv1379,regulatory-proteins
Rv1395,regulatory-proteins
Rv1404,regulatory-proteins
Rv1423,regulatory-proteins
Rv1453,regulatory-proteins
Rv1460,regulatory-proteins
Rv1473A,regulatory-proteins
Rv1474c,regulatory-proteins
Rv1479,regulatory-proteins
Rv1534,regulatory-proteins
Rv1556,regulatory-proteins
Rv1626,regulatory-proteins
Rv1657,regulatory-proteins
Rv1674c,regulatory-proteins
Rv1675c,regulatory-proteins
Rv1719,regulatory-proteins
Rv1743,regulatory-proteins
Rv1746,regulatory-proteins
Rv1773c,regulatory-proteins
Rv1776c,regulatory-proteins
Rv1816,regulatory-proteins
Rv1846c,regulatory-proteins
Rv1909c,regulatory-proteins
Rv1931c,regulatory-proteins
Rv1963c,regulatory-proteins
Rv1985c,regulatory-proteins
Rv1990c,regulatory-proteins
Rv1994c,regulatory-proteins
Rv2011c,regulatory-proteins
Rv2017,regulatory-proteins
Rv2021c,regulatory-proteins
Rv2027c,regulatory-proteins
Rv2034,regulatory-proteins
Rv2088,regulatory-proteins
Rv2160A,regulatory-proteins
Rv2160c,regulatory-proteins
Rv2175c,regulatory-proteins
Rv2176,regulatory-proteins
Rv2232,regulatory-proteins
Rv2234,regulatory-proteins
Rv2250c,regulatory-proteins
Rv2258c,regulatory-proteins
Rv2282c,regulatory-proteins
Rv2324,regulatory-proteins
Rv2358,regulatory-proteins
Rv2359,regulatory-proteins
Rv2488c,regulatory-proteins
Rv2506,regulatory-proteins
Rv2621c,regulatory-proteins
Rv2640c,regulatory-proteins
Rv2642,regulatory-proteins
Rv2711,regulatory-proteins
Rv2718c,regulatory-proteins
Rv2720,regulatory-proteins
Rv2745c,regulatory-proteins
Rv2779c,regulatory-proteins
Rv2788,regulatory-proteins
Rv2884,regulatory-proteins
Rv2887,regulatory-proteins
Rv2912c,regulatory-proteins
Rv2914c,regulatory-proteins
Rv2919c,regulatory-proteins
Rv2989,regulatory-proteins
Rv3050c,regulatory-proteins
Rv3055,regulatory-proteins
Rv3058c,regulatory-proteins
Rv3060c,regulatory-proteins
Rv3066,regulatory-proteins
Rv3080c,regulatory-proteins
Rv3095,regulatory-proteins
Rv3124,regulatory-proteins
Rv3132c,regulatory-proteins
Rv3133c,regulatory-proteins
Rv3143,regulatory-proteins
Rv3160c,regulatory-proteins
Rv3164c,regulatory-proteins
Rv3167c,regulatory-proteins
Rv3173c,regulatory-proteins
Rv3183,regulatory-proteins
Rv3197A,regulatory-proteins
Rv3208,regulatory-proteins
Rv3219,regulatory-proteins
Rv3220c,regulatory-proteins
Rv3245c,regulatory-proteins
Rv3246c,regulatory-proteins
Rv3249c,regulatory-proteins
Rv3260c,regulatory-proteins
Rv3291c,regulatory-proteins
Rv3295,regulatory-proteins
Rv3334,regulatory-proteins
Rv3405c,regulatory-proteins
Rv3416,regulatory-proteins
Rv3557c,regulatory-proteins
Rv3574,regulatory-proteins
Rv3575c,regulatory-proteins
Rv3583c,regulatory-proteins
Rv3676,regulatory-proteins
Rv3681c,regulatory-proteins
Rv3692,regulatory-proteins
Rv3736,regulatory-proteins
Rv3744,regulatory-proteins
Rv3764c,regulatory-proteins
Rv3765c,regulatory-proteins
Rv3830c,regulatory-proteins
Rv3833,regulatory-proteins
Rv3840,regulatory-proteins
Rv3849,regulatory-proteins
Rv3853,regulatory-proteins
Rv3855,regulatory-proteins
Rv3862c,regulatory-proteins
Rv0013,intermediary-metabolism-and-respiration
Rv0032,intermediary-metabolism-and-respiration
Rv0044c,intermediary-metabolism-and-respiration
Rv0046c,intermediary-metabolism-and-respiration
Rv0062,intermediary-metabolism-and-respiration
Rv0063,intermediary-metabolism-and-respiration
Rv0066c,intermediary-metabolism-and-respiration
Rv0068,intermediary-metabolism-and-respiration
Rv0069c,intermediary-metabolism-and-respiration
Rv0070c,intermediary-metabolism-and-respiration
Rv0075,intermediary-metabolism-and-respiration
Rv0077c,intermediary-metabolism-and-respiration
Rv0082,intermediary-metabolism-and-respiration
Rv0083,intermediary-metabolism-and-respiration
Rv0084,intermediary-metabolism-and-respiration
Rv0085,intermediary-metabolism-and-respiration
Rv0086,intermediary-metabolism-and-respiration
Rv0087,intermediary-metabolism-and-respiration
Rv0089,intermediary-metabolism-and-respiration
Rv0091,intermediary-metabolism-and-respiration
Rv0097,intermediary-metabolism-and-respiration
Rv0111,intermediary-metabolism-and-respiration
Rv0118c,intermediary-metabolism-and-respiration
Rv0125,intermediary-metabolism-and-respiration
Rv0130,intermediary-metabolism-and-respiration
Rv0132c,intermediary-metabolism-and-respiration
Rv0133,intermediary-metabolism-and-respiration
Rv0136,intermediary-metabolism-and-respiration
Rv0137c,intermediary-metabolism-and-respiration
Rv0139,intermediary-metabolism-and-respiration
Rv0147,intermediary-metabolism-and-respiration
Rv0148,intermediary-metabolism-and-respiration
Rv0149,intermediary-metabolism-and-respiration
Rv0155,intermediary-metabolism-and-respiration
Rv0156,intermediary-metabolism-and-respiration
Rv0157,intermediary-metabolism-and-respiration
Rv0161,intermediary-metabolism-and-respiration
Rv0162c,intermediary-metabolism-and-respiration
Rv0183,intermediary-metabolism-and-respiration
Rv0186,intermediary-metabolism-and-respiration
Rv0187,intermediary-metabolism-and-respiration
Rv0189c,intermediary-metabolism-and-respiration
Rv0197,intermediary-metabolism-and-respiration
Rv0198c,intermediary-metabolism-and-respiration
Rv0208c,intermediary-metabolism-and-respiration
Rv0211,intermediary-metabolism-and-respiration
Rv0213c,intermediary-metabolism-and-respiration
Rv0216,intermediary-metabolism-and-respiration
Rv0217c,intermediary-metabolism-and-respiration
Rv0220,intermediary-metabolism-and-respiration
Rv0223c,intermediary-metabolism-and-respiration
Rv0224c,intermediary-metabolism-and-respiration
Rv0228,intermediary-metabolism-and-respiration
Rv0234c,intermediary-metabolism-and-respiration
Rv0241c,intermediary-metabolism-and-respiration
Rv0245,intermediary-metabolism-and-respiration
Rv0247c,intermediary-metabolism-and-respiration
Rv0248c,intermediary-metabolism-and-respiration
Rv0249c,intermediary-metabolism-and-respiration
Rv0252,intermediary-metabolism-and-respiration
Rv0253,intermediary-metabolism-and-respiration
Rv0254c,intermediary-metabolism-and-respiration
Rv0255c,intermediary-metabolism-and-respiration
Rv0266c,intermediary-metabolism-and-respiration
Rv0291,intermediary-metabolism-and-respiration
Rv0294,intermediary-metabolism-and-respiration
Rv0296c,intermediary-metabolism-and-respiration
Rv0303,intermediary-metabolism-and-respiration
Rv0306,intermediary-metabolism-and-respiration
Rv0315,intermediary-metabolism-and-respiration
Rv0316,intermediary-metabolism-and-respiration
Rv0317c,intermediary-metabolism-and-respiration
Rv0319,intermediary-metabolism-and-respiration
Rv0321,intermediary-metabolism-and-respiration
Rv0322,intermediary-metabolism-and-respiration
Rv0327c,intermediary-metabolism-and-respiration
Rv0331,intermediary-metabolism-and-respiration
Rv0334,intermediary-metabolism-and-respiration
Rv0337c,intermediary-metabolism-and-respiration
Rv0338c,intermediary-metabolism-and-respiration
Rv0357c,intermediary-metabolism-and-respiration
Rv0363c,intermediary-metabolism-and-respiration
Rv0369c,intermediary-metabolism-and-respiration
Rv0370c,intermediary-metabolism-and-respiration
Rv0373c,intermediary-metabolism-and-respiration
Rv0374c,intermediary-metabolism-and-respiration
Rv0375c,intermediary-metabolism-and-respiration
Rv0380c,intermediary-metabolism-and-respiration
Rv0382c,intermediary-metabolism-and-respiration
Rv0385,intermediary-metabolism-and-respiration
Rv0389,intermediary-metabolism-and-respiration
Rv0391,intermediary-metabolism-and-respiration
Rv0392c,intermediary-metabolism-and-respiration
Rv0407,intermediary-metabolism-and-respiration
Rv0408,intermediary-metabolism-and-respiration
Rv0409,intermediary-metabolism-and-respiration
Rv0414c,intermediary-metabolism-and-respiration
Rv0415,intermediary-metabolism-and-respiration
Rv0416,intermediary-metabolism-and-respiration
Rv0417,intermediary-metabolism-and-respiration
Rv0422c,intermediary-metabolism-and-respiration
Rv0423c,intermediary-metabolism-and-respiration
Rv0428c,intermediary-metabolism-and-respiration
Rv0438c,intermediary-metabolism-and-respiration
Rv0439c,intermediary-metabolism-and-respiration
Rv0457c,intermediary-metabolism-and-respiration
Rv0458,intermediary-metabolism-and-respiration
Rv0462,intermediary-metabolism-and-respiration
Rv0467,intermediary-metabolism-and-respiration
Rv0478,intermediary-metabolism-and-respiration
Rv0480c,intermediary-metabolism-and-respiration
Rv0484c,intermediary-metabolism-and-respiration
Rv0486,intermediary-metabolism-and-respiration
Rv0489,intermediary-metabolism-and-respiration
Rv0492c,intermediary-metabolism-and-respiration
Rv0500,intermediary-metabolism-and-respiration
Rv0501,intermediary-metabolism-and-respiration
Rv0505c,intermediary-metabolism-and-respiration
Rv0509,intermediary-metabolism-and-respiration
Rv0510,intermediary-metabolism-and-respiration
Rv0511,intermediary-metabolism-and-respiration
Rv0512,intermediary-metabolism-and-respiration
Rv0517,intermediary-metabolism-and-respiration
Rv0520,intermediary-metabolism-and-respiration
Rv0521,intermediary-metabolism-and-respiration
Rv0524,intermediary-metabolism-and-respiration
Rv0526,intermediary-metabolism-and-respiration
Rv0527,intermediary-metabolism-and-respiration
Rv0529,intermediary-metabolism-and-respiration
Rv0534c,intermediary-metabolism-and-respiration
Rv0535,intermediary-metabolism-and-respiration
Rv0536,intermediary-metabolism-and-respiration
Rv0539,intermediary-metabolism-and-respiration
Rv0542c,intermediary-metabolism-and-respiration
Rv0547c,intermediary-metabolism-and-respiration
Rv0548c,intermediary-metabolism-and-respiration
Rv0553,intermediary-metabolism-and-respiration
Rv0555,intermediary-metabolism-and-respiration
Rv0558,intermediary-metabolism-and-respiration
Rv0560c,intermediary-metabolism-and-respiration
Rv0561c,intermediary-metabolism-and-respiration
Rv0562,intermediary-metabolism-and-respiration
Rv0565c,intermediary-metabolism-and-respiration
Rv0567,intermediary-metabolism-and-respiration
Rv0568,intermediary-metabolism-and-respiration
Rv0573c,intermediary-metabolism-and-respiration
Rv0575c,intermediary-metabolism-and-respiration
Rv0618,intermediary-metabolism-and-respiration
Rv0619,intermediary-metabolism-and-respiration
Rv0620,intermediary-metabolism-and-respiration
Rv0635,intermediary-metabolism-and-respiration
Rv0636,intermediary-metabolism-and-respiration
Rv0637,intermediary-metabolism-and-respiration
Rv0646c,intermediary-metabolism-and-respiration
Rv0648,intermediary-metabolism-and-respiration
Rv0650,intermediary-metabolism-and-respiration
Rv0654,intermediary-metabolism-and-respiration
Rv0663,intermediary-metabolism-and-respiration
Rv0669c,intermediary-metabolism-and-respiration
Rv0687,intermediary-metabolism-and-respiration
Rv0688,intermediary-metabolism-and-respiration
Rv0691A,intermediary-metabolism-and-respiration
Rv0693,intermediary-metabolism-and-respiration
Rv0694,intermediary-metabolism-and-respiration
Rv0696,intermediary-metabolism-and-respiration
Rv0697,intermediary-metabolism-and-respiration
Rv0711,intermediary-metabolism-and-respiration
Rv0727c,intermediary-metabolism-and-respiration
Rv0728c,intermediary-metabolism-and-respiration
Rv0729,intermediary-metabolism-and-respiration
Rv0730,intermediary-metabolism-and-respiration
Rv0733,intermediary-metabolism-and-respiration
Rv0734,intermediary-metabolism-and-respiration
Rv0751c,intermediary-metabolism-and-respiration
Rv0753c,intermediary-metabolism-and-respiration
Rv0761c,intermediary-metabolism-and-respiration
Rv0763c,intermediary-metabolism-and-respiration
Rv0764c,intermediary-metabolism-and-respiration
Rv0765c,intermediary-metabolism-and-respiration
Rv0766c,intermediary-metabolism-and-respiration
Rv0768,intermediary-metabolism-and-respiration
Rv0769,intermediary-metabolism-and-respiration
Rv0770,intermediary-metabolism-and-respiration
Rv0771,intermediary-metabolism-and-respiration
Rv0772,intermediary-metabolism-and-respiration
Rv0773c,intermediary-metabolism-and-respiration
Rv0777,intermediary-metabolism-and-respiration
Rv0778,intermediary-metabolism-and-respiration
Rv0780,intermediary-metabolism-and-respiration
Rv0781,intermediary-metabolism-and-respiration
Rv0782,intermediary-metabolism-and-respiration
Rv0788,intermediary-metabolism-and-respiration
Rv0793,intermediary-metabolism-and-respiration
Rv0794c,intermediary-metabolism-and-respiration
Rv0800,intermediary-metabolism-and-respiration
Rv0802c,intermediary-metabolism-and-respiration
Rv0803,intermediary-metabolism-and-respiration
Rv0805,intermediary-metabolism-and-respiration
Rv0808,intermediary-metabolism-and-respiration
Rv0809,intermediary-metabolism-and-respiration
Rv0812,intermediary-metabolism-and-respiration
Rv0814c,intermediary-metabolism-and-respiration
Rv0815c,intermediary-metabolism-and-respiration
Rv0816c,intermediary-metabolism-and-respiration
Rv0819,intermediary-metabolism-and-respiration
Rv0828c,intermediary-metabolism-and-respiration
Rv0840c,intermediary-metabolism-and-respiration
Rv0843,intermediary-metabolism-and-respiration
Rv0846c,intermediary-metabolism-and-respiration
Rv0848,intermediary-metabolism-and-respiration
Rv0851c,intermediary-metabolism-and-respiration
Rv0853c,intermediary-metabolism-and-respiration
Rv0858c,intermediary-metabolism-and-respiration
Rv0864,intermediary-metabolism-and-respiration
Rv0865,intermediary-metabolism-and-respiration
Rv0866,intermediary-metabolism-and-respiration
Rv0868c,intermediary-metabolism-and-respiration
Rv0869c,intermediary-metabolism-and-respiration
Rv0881,intermediary-metabolism-and-respiration
Rv0884c,intermediary-metabolism-and-respiration
Rv0886,intermediary-metabolism-and-respiration
Rv0889c,intermediary-metabolism-and-respiration
Rv0892,intermediary-metabolism-and-respiration
Rv0896,intermediary-metabolism-and-respiration
Rv0897c,intermediary-metabolism-and-respiration
Rv0913c,intermediary-metabolism-and-respiration
Rv0919,intermediary-metabolism-and-respiration
Rv0927c,intermediary-metabolism-and-respiration
Rv0939,intermediary-metabolism-and-respiration
Rv0940c,intermediary-metabolism-and-respiration
Rv0943c,intermediary-metabolism-and-respiration
Rv0945,intermediary-metabolism-and-respiration
Rv0946c,intermediary-metabolism-and-respiration
Rv0948c,intermediary-metabolism-and-respiration
Rv0951,intermediary-metabolism-and-respiration
Rv0952,intermediary-metabolism-and-respiration
Rv0953c,intermediary-metabolism-and-respiration
Rv0956,intermediary-metabolism-and-respiration
Rv0957,intermediary-metabolism-and-respiration
Rv0958,intermediary-metabolism-and-respiration
Rv0983,intermediary-metabolism-and-respiration
Rv0984,intermediary-metabolism-and-respiration
Rv0989c,intermediary-metabolism-and-respiration
Rv0993,intermediary-metabolism-and-respiration
Rv0994,intermediary-metabolism-and-respiration
Rv1001,intermediary-metabolism-and-respiration
Rv1005c,intermediary-metabolism-and-respiration
Rv1011,intermediary-metabolism-and-respiration
Rv1014c,intermediary-metabolism-and-respiration
Rv1017c,intermediary-metabolism-and-respiration
Rv1023,intermediary-metabolism-and-respiration
Rv1050,intermediary-metabolism-and-respiration
Rv1076,intermediary-metabolism-and-respiration
Rv1077,intermediary-metabolism-and-respiration
Rv1079,intermediary-metabolism-and-respiration
Rv1089A,intermediary-metabolism-and-respiration
Rv1090,intermediary-metabolism-and-respiration
Rv1092c,intermediary-metabolism-and-respiration
Rv1093,intermediary-metabolism-and-respiration
Rv1095,intermediary-metabolism-and-respiration
Rv1096,intermediary-metabolism-and-respiration
Rv1098c,intermediary-metabolism-and-respiration
Rv1099c,intermediary-metabolism-and-respiration
Rv1104,intermediary-metabolism-and-respiration
Rv1105,intermediary-metabolism-and-respiration
Rv1106c,intermediary-metabolism-and-respiration
Rv1121,intermediary-metabolism-and-respiration
Rv1122,intermediary-metabolism-and-respiration
Rv1127c,intermediary-metabolism-and-respiration
Rv1130,intermediary-metabolism-and-respiration
Rv1131,intermediary-metabolism-and-respiration
Rv1133c,intermediary-metabolism-and-respiration
Rv1138c,intermediary-metabolism-and-respiration
Rv1144,intermediary-metabolism-and-respiration
Rv1155,intermediary-metabolism-and-respiration
Rv1161,intermediary-metabolism-and-respiration
Rv1162,intermediary-metabolism-and-respiration
Rv1163,intermediary-metabolism-and-respiration
Rv1164,intermediary-metabolism-and-respiration
Rv1170,intermediary-metabolism-and-respiration
Rv1173,intermediary-metabolism-and-respiration
Rv1177,intermediary-metabolism-and-respiration
Rv1178,intermediary-metabolism-and-respiration
Rv1187,intermediary-metabolism-and-respiration
Rv1188,intermediary-metabolism-and-respiration
Rv1201c,intermediary-metabolism-and-respiration
Rv1202,intermediary-metabolism-and-respiration
Rv1207,intermediary-metabolism-and-respiration
Rv1208,intermediary-metabolism-and-respiration
Rv1212c,intermediary-metabolism-and-respiration
Rv1213,intermediary-metabolism-and-respiration
Rv1220c,intermediary-metabolism-and-respiration
Rv1223,intermediary-metabolism-and-respiration
Rv1229c,intermediary-metabolism-and-respiration
Rv1240,intermediary-metabolism-and-respiration
Rv1245c,intermediary-metabolism-and-respiration
Rv1248c,intermediary-metabolism-and-respiration
Rv1254,intermediary-metabolism-and-respiration
Rv1256c,intermediary-metabolism-and-respiration
Rv1257c,intermediary-metabolism-and-respiration
Rv1260,intermediary-metabolism-and-respiration
Rv1263,intermediary-metabolism-and-respiration
Rv1264,intermediary-metabolism-and-respiration
Rv1279,intermediary-metabolism-and-respiration
Rv1284,intermediary-metabolism-and-respiration
Rv1285,intermediary-metabolism-and-respiration
Rv1286,intermediary-metabolism-and-respiration
Rv1293,intermediary-metabolism-and-respiration
Rv1294,intermediary-metabolism-and-respiration
Rv1295,intermediary-metabolism-and-respiration
Rv1296,intermediary-metabolism-and-respiration
Rv1300,intermediary-metabolism-and-respiration
Rv1304,intermediary-metabolism-and-respiration
Rv1305,intermediary-metabolism-and-respiration
Rv1306,intermediary-metabolism-and-respiration
Rv1307,intermediary-metabolism-and-respiration
Rv1308,intermediary-metabolism-and-respiration
Rv1309,intermediary-metabolism-and-respiration
Rv1310,intermediary-metabolism-and-respiration
Rv1311,intermediary-metabolism-and-respiration
Rv1318c,intermediary-metabolism-and-respiration
Rv1319c,intermediary-metabolism-and-respiration
Rv1320c,intermediary-metabolism-and-respiration
Rv1324,intermediary-metabolism-and-respiration
Rv1326c,intermediary-metabolism-and-respiration
Rv1327c,intermediary-metabolism-and-respiration
Rv1328,intermediary-metabolism-and-respiration
Rv1330c,intermediary-metabolism-and-respiration
Rv1333,intermediary-metabolism-and-respiration
Rv1334,intermediary-metabolism-and-respiration
Rv1335,intermediary-metabolism-and-respiration
Rv1336,intermediary-metabolism-and-respiration
Rv1355c,intermediary-metabolism-and-respiration
Rv1360,intermediary-metabolism-and-respiration
Rv1373,intermediary-metabolism-and-respiration
Rv1377c,intermediary-metabolism-and-respiration
Rv1380,intermediary-metabolism-and-respiration
Rv1381,intermediary-metabolism-and-respiration
Rv1383,intermediary-metabolism-and-respiration
