Gene Name,Functional Category
Rv0813c,conserved-hypothetical
Rv0822c,conserved-hypothetical
Rv0825c,conserved-hypothetical
Rv0826,conserved-hypothetical
Rv0831c,conserved-hypothetical
Rv0836c,conserved-hypothetical
Rv0837c,conserved-hypothetical
Rv0839,conserved-hypothetical
Rv0854,conserved-hypothetical
Rv0856,conserved-hypothetical
Rv0857,conserved-hypothetical
Rv0862c,conserved-hypothetical
Rv0863,conserved-hypothetical
Rv0874c,conserved-hypothetical
Rv0877,conserved-hypothetical
Rv0883c,conserved-hypothetical
Rv0885,conserved-hypothetical
Rv0887c,conserved-hypothetical
Rv0898c,conserved-hypothetical
Rv0906,conserved-hypothetical
Rv0909,conserved-hypothetical
Rv0910,conserved-hypothetical
Rv0911,conserved-hypothetical
Rv0918,conserved-hypothetical
Rv0923c,conserved-hypothetical
Rv0925c,conserved-hypothetical
Rv0926c,conserved-hypothetical
Rv0941c,conserved-hypothetical
Rv0942,conserved-hypothetical
Rv0950c,conserved-hypothetical
Rv0959,conserved-hypothetical
Rv0963c,conserved-hypothetical
Rv0964c,conserved-hypothetical
Rv0965c,conserved-hypothetical
Rv0966c,conserved-hypothetical
Rv0968,conserved-hypothetical
Rv0976c,conserved-hypothetical
Rv0979c,conserved-hypothetical
Rv0990c,conserved-hypothetical
Rv0991c,conserved-hypothetical
Rv0992c,conserved-hypothetical
Rv0997,conserved-hypothetical
Rv0998,conserved-hypothetical
Rv0999,conserved-hypothetical
Rv1000c,conserved-hypothetical
Rv1003,conserved-hypothetical
Rv1006,conserved-hypothetical
Rv1012,conserved-hypothetical
Rv1021,conserved-hypothetical
Rv1025,conserved-hypothetical
Rv1043c,conserved-hypothetical
Rv1044,conserved-hypothetical
Rv1045,conserved-hypothetical
Rv1048c,conserved-hypothetical
Rv1051c,conserved-hypothetical
Rv1052,conserved-hypothetical
Rv1053c,conserved-hypothetical
Rv1056,conserved-hypothetical
Rv1057,conserved-hypothetical
Rv1059,conserved-hypothetical
Rv1060,conserved-hypothetical
Rv1061,conserved-hypothetical
Rv1062,conserved-hypothetical
Rv1063c,conserved-hypothetical
Rv1065,conserved-hypothetical
Rv1066,conserved-hypothetical
Rv1069c,conserved-hypothetical
Rv1073,conserved-hypothetical
Rv1078,conserved-hypothetical
Rv1083,conserved-hypothetical
Rv1084,conserved-hypothetical
Rv1100,conserved-hypothetical
Rv1109c,conserved-hypothetical
Rv1111c,conserved-hypothetical
Rv1112,conserved-hypothetical
Rv1116,conserved-hypothetical
Rv1116A,conserved-hypothetical
Rv1117,conserved-hypothetical
Rv1118c,conserved-hypothetical
Rv1119c,conserved-hypothetical
Rv1120c,conserved-hypothetical
Rv1125,conserved-hypothetical
Rv1126c,conserved-hypothetical
Rv1134,conserved-hypothetical
Rv1137c,conserved-hypothetical
Rv1147,conserved-hypothetical
Rv1154c,conserved-hypothetical
Rv1156,conserved-hypothetical
Rv1157c,conserved-hypothetical
Rv1158c,conserved-hypothetical
Rv1159A,conserved-hypothetical
Rv1171,conserved-hypothetical
Rv1176c,conserved-hypothetical
Rv1179c,conserved-hypothetical
Rv1186c,conserved-hypothetical
Rv1190,conserved-hypothetical
Rv1191,conserved-hypothetical
Rv1192,conserved-hypothetical
Rv1194c,conserved-hypothetical
Rv1203c,conserved-hypothetical
Rv1204c,conserved-hypothetical
Rv1205,conserved-hypothetical
Rv1209,conserved-hypothetical
Rv1211,conserved-hypothetical
Rv1215c,conserved-hypothetical
Rv1225c,conserved-hypothetical
Rv1232c,conserved-hypothetical
Rv1251c,conserved-hypothetical
Rv1261c,conserved-hypothetical
Rv1262c,conserved-hypothetical
Rv1265,conserved-hypothetical
Rv1268c,conserved-hypothetical
Rv1276c,conserved-hypothetical
Rv1277,conserved-hypothetical
Rv1278,conserved-hypothetical
Rv1287,conserved-hypothetical
Rv1288,conserved-hypothetical
Rv1289,conserved-hypothetical
Rv1290c,conserved-hypothetical
Rv1290A,conserved-hypothetical
Rv1301,conserved-hypothetical
Rv1314c,conserved-hypothetical
Rv1321,conserved-hypothetical
Rv1322,conserved-hypothetical
Rv1322A,conserved-hypothetical
Rv1331,conserved-hypothetical
Rv1339,conserved-hypothetical
Rv1341,conserved-hypothetical
Rv1351,conserved-hypothetical
Rv1352,conserved-hypothetical
Rv1354c,conserved-hypothetical
Rv1356c,conserved-hypothetical
Rv1357c,conserved-hypothetical
Rv1366,conserved-hypothetical
Rv1366A,conserved-hypothetical
Rv1367c,conserved-hypothetical
Rv1372,conserved-hypothetical
Rv1374c,conserved-hypothetical
Rv1375,conserved-hypothetical
Rv1376,conserved-hypothetical
Rv1378c,conserved-hypothetical
Rv1413,conserved-hypothetical
Rv1414,conserved-hypothetical
Rv1419,conserved-hypothetical
Rv1421,conserved-hypothetical
Rv1422,conserved-hypothetical
Rv1428c,conserved-hypothetical
Rv1429,conserved-hypothetical
Rv1434,conserved-hypothetical
Rv1439c,conserved-hypothetical
Rv1443c,conserved-hypothetical
Rv1444c,conserved-hypothetical
Rv1455,conserved-hypothetical
Rv1461,conserved-hypothetical
Rv1462,conserved-hypothetical
Rv1466,conserved-hypothetical
Rv1480,conserved-hypothetical
